""	"NMPAX"	"NMSCX"	"VEA"	"DEMIX"	"ACFFX"	"PCLIX"	"VNQ"	"RWX"	"FDAAX"	"WFC"	"CVX"	"JNJ"	"PPSIX"	"XOM"	"AMGN"	"PCLN"	"MSFT"	"PEP"	"PG"	"AMZN"
"NMPAX"	1	0.940871328384211	0.778187133144709	0.745543856254745	0.607448169341603	0.165716708087175	0.593224195424777	0.683773337911798	0.0372797723411906	0.715688545489198	0.458634863111396	0.560149214579762	0.13215548551054	0.524675612728325	0.539852059367731	0.626953947440643	0.441744131679608	0.370975639744385	0.248288714941688	0.557955439905296
"NMSCX"	0.940871328384211	1	0.712076162523474	0.68923175165438	0.552086870725177	0.132877700491465	0.534977839270103	0.616543422170636	0.0333135419194954	0.677931633649857	0.422390819526916	0.502846567691667	0.107260621423937	0.46149145308044	0.546249489452148	0.646753861823227	0.411451919499628	0.323406086647706	0.238324171761819	0.578686779705134
"VEA"	0.778187133144709	0.712076162523474	1	0.803025182062271	0.767201272213475	0.211079802095913	0.4920383497913	0.872443527828152	-0.0203436802538185	0.615586549515113	0.56421620956521	0.568805168403804	0.189299945284509	0.596106188909871	0.46425044004415	0.528604987792769	0.319874103821954	0.460195990333913	0.319890916613301	0.469508063450448
"DEMIX"	0.745543856254745	0.68923175165438	0.803025182062271	1	0.642520727171799	0.232457045761535	0.427686786600136	0.758367578048275	-0.0173506178508298	0.538027856209822	0.451921087793586	0.440539073495645	0.152478695901657	0.533314362775105	0.42531290977839	0.46927781366527	0.263302763910535	0.335154242532726	0.253490624223944	0.463023931196582
"ACFFX"	0.607448169341603	0.552086870725177	0.767201272213475	0.642520727171799	1	0.295753073391333	0.430960949153527	0.702737844931114	0.0463083164189967	0.465594860297086	0.525441220352093	0.452406554043266	0.234534325452039	0.553618246543398	0.391602254800878	0.392270025567848	0.177112802851173	0.304864543333565	0.239912756617824	0.390812164872683
"PCLIX"	0.165716708087175	0.132877700491465	0.211079802095913	0.232457045761535	0.295753073391333	1	0.198006312242045	0.27138239570533	-0.108964134421329	0.0727333065146634	0.250181223675243	0.0624567601212488	0.128384056960075	0.279201476130326	0.0287439020314779	0.0552767585755517	0.0474983368124525	0.119064022914422	-0.0400766907542611	0.0212426132808236
"VNQ"	0.593224195424777	0.534977839270103	0.4920383497913	0.427686786600136	0.430960949153527	0.198006312242045	1	0.538059364100818	0.105998413043512	0.403772566008241	0.270240950138378	0.450079262876549	0.247339139933104	0.348475946160438	0.292095987915573	0.333383719906182	0.368014989436975	0.359893028117094	0.243620410593086	0.318177925698497
"RWX"	0.683773337911798	0.616543422170636	0.872443527828152	0.758367578048275	0.702737844931114	0.27138239570533	0.538059364100818	1	-0.0198917861942321	0.511167632955966	0.503826033522114	0.535346603982395	0.183871693235241	0.533920305278003	0.376058333071663	0.413066645610647	0.273295027945852	0.430454914929526	0.313855360960472	0.409570499426557
"FDAAX"	0.0372797723411906	0.0333135419194954	-0.0203436802538185	-0.0173506178508298	0.0463083164189967	-0.108964134421329	0.105998413043512	-0.0198917861942321	1	-0.012487351591947	-0.11975727211848	-0.0156962982580109	0.113659085573625	-0.11605699919195	-0.0285399289488244	-0.0443592445705739	0.102443465087056	0.0784340149044768	-0.0105690501314027	-0.0940497924110548
"WFC"	0.715688545489198	0.677931633649857	0.615586549515113	0.538027856209822	0.465594860297086	0.0727333065146634	0.403772566008241	0.511167632955966	-0.012487351591947	1	0.481994212687084	0.577094707072259	0.121326013998784	0.483880499442756	0.466832349023469	0.406904612504678	0.310342611734187	0.307289198273395	0.154047437379355	0.408520932846503
"CVX"	0.458634863111396	0.422390819526916	0.56421620956521	0.451921087793586	0.525441220352093	0.250181223675243	0.270240950138378	0.503826033522114	-0.11975727211848	0.481994212687084	1	0.500003771809981	0.159835585140848	0.678821589938346	0.32872834018098	0.224949242258017	0.201892322166764	0.324647935830006	0.295117056201174	0.406410881427298
"JNJ"	0.560149214579762	0.502846567691667	0.568805168403804	0.440539073495645	0.452406554043266	0.0624567601212488	0.450079262876549	0.535346603982395	-0.0156962982580109	0.577094707072259	0.500003771809981	1	0.117859055004349	0.473348409604319	0.396095999816995	0.278478867242751	0.18824290772529	0.421033613005592	0.393290973709307	0.280252368355412
"PPSIX"	0.13215548551054	0.107260621423937	0.189299945284509	0.152478695901657	0.234534325452039	0.128384056960075	0.247339139933104	0.183871693235241	0.113659085573625	0.121326013998784	0.159835585140848	0.117859055004349	1	0.152107502083649	0.0648997178653516	0.141040767897725	0.0537010040259589	0.0461680410728462	0.0194575604262751	0.173744094810789
"XOM"	0.524675612728325	0.46149145308044	0.596106188909871	0.533314362775105	0.553618246543398	0.279201476130326	0.348475946160438	0.533920305278003	-0.11605699919195	0.483880499442756	0.678821589938346	0.473348409604319	0.152107502083649	1	0.290688130909467	0.264826199615923	0.260525433735997	0.300357962106054	0.356128466088411	0.299073676073917
"AMGN"	0.539852059367731	0.546249489452148	0.46425044004415	0.42531290977839	0.391602254800878	0.0287439020314779	0.292095987915573	0.376058333071663	-0.0285399289488244	0.466832349023469	0.32872834018098	0.396095999816995	0.0648997178653516	0.290688130909467	1	0.49625429761366	0.259098784812759	0.194616573879955	0.0744025017400448	0.386317684126147
"PCLN"	0.626953947440643	0.646753861823227	0.528604987792769	0.46927781366527	0.392270025567848	0.0552767585755517	0.333383719906182	0.413066645610647	-0.0443592445705739	0.406904612504678	0.224949242258017	0.278478867242751	0.141040767897725	0.264826199615923	0.49625429761366	1	0.263729248550322	0.249016069236206	0.0917003482651788	0.532961718203796
"MSFT"	0.441744131679608	0.411451919499628	0.319874103821954	0.263302763910535	0.177112802851173	0.0474983368124525	0.368014989436975	0.273295027945852	0.102443465087056	0.310342611734187	0.201892322166764	0.18824290772529	0.0537010040259589	0.260525433735997	0.259098784812759	0.263729248550322	1	0.210258618178351	0.259236595548519	0.139627218520299
"PEP"	0.370975639744385	0.323406086647706	0.460195990333913	0.335154242532726	0.304864543333565	0.119064022914422	0.359893028117094	0.430454914929526	0.0784340149044768	0.307289198273395	0.324647935830006	0.421033613005592	0.0461680410728462	0.300357962106054	0.194616573879955	0.249016069236206	0.210258618178351	1	0.336724478820269	0.228935120288595
"PG"	0.248288714941688	0.238324171761819	0.319890916613301	0.253490624223944	0.239912756617824	-0.0400766907542611	0.243620410593086	0.313855360960472	-0.0105690501314027	0.154047437379355	0.295117056201174	0.393290973709307	0.0194575604262751	0.356128466088411	0.0744025017400448	0.0917003482651788	0.259236595548519	0.336724478820269	1	0.177624556595798
"AMZN"	0.557955439905296	0.578686779705134	0.469508063450448	0.463023931196582	0.390812164872683	0.0212426132808236	0.318177925698497	0.409570499426557	-0.0940497924110548	0.408520932846503	0.406410881427298	0.280252368355412	0.173744094810789	0.299073676073917	0.386317684126147	0.532961718203796	0.139627218520299	0.228935120288595	0.177624556595798	1
